"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1.970414,"x","Months",161,-0.1225914,"y","%",289,"orangeGrp"
3.008876,"x","Months",200,-0.06079734,"y","%",258,"orangeGrp"
4.02071,"x","Months",238,-0.04684385,"y","%",251,"orangeGrp"
5.005917,"x","Months",275,-0.03488372,"y","%",245,"orangeGrp"
6.044379,"x","Months",314,-0.03887043,"y","%",247,"orangeGrp"
7.029586,"x","Months",351,-0.03089701,"y","%",243,"orangeGrp"
8.04142,"x","Months",389,-0.03687708,"y","%",246,"orangeGrp"
9.026627,"x","Months",426,-0.01295681,"y","%",234,"orangeGrp"
10.01183,"x","Months",463,0.002990033,"y","%",226,"orangeGrp"
11.0503,"x","Months",502,-0.004983389,"y","%",230,"orangeGrp"
12.00888,"x","Months",538,0.0009966777,"y","%",227,"orangeGrp"
12.99408,"x","Months",575,-0.004983389,"y","%",230,"orangeGrp"
14.03254,"x","Months",614,0.0009966777,"y","%",227,"orangeGrp"
15.01775,"x","Months",651,0.02093023,"y","%",217,"orangeGrp"
16.00296,"x","Months",688,0.004983389,"y","%",225,"orangeGrp"
17.01479,"x","Months",726,0.01096346,"y","%",222,"orangeGrp"
18,"x","Months",763,0.0089701,"y","%",223,"orangeGrp"
1.011834,"x","Months",125,-0.1106312,"y","%",283,"orangeGrp"
0,"x","Months",87,-0.0448505,"y","%",250,"orangeGrp"
-0.02662722,"x","Months",86,-0.02890365,"y","%",242,"cherryGrp"
1.011834,"x","Months",125,-0.09269103,"y","%",274,"cherryGrp"
1.91716,"x","Months",159,-0.1066445,"y","%",281,"cherryGrp"
2.982249,"x","Months",199,-0.04285714,"y","%",249,"cherryGrp"
4.02071,"x","Months",238,-0.02890365,"y","%",242,"cherryGrp"
5.005917,"x","Months",275,-0.01295681,"y","%",234,"cherryGrp"
6.017751,"x","Months",313,-0.02093023,"y","%",238,"cherryGrp"
7.002959,"x","Months",350,-0.0089701,"y","%",232,"cherryGrp"
8.014793,"x","Months",388,-0.01295681,"y","%",234,"cherryGrp"
9,"x","Months",425,0.01096346,"y","%",222,"cherryGrp"
9.985207,"x","Months",462,0.02890365,"y","%",213,"cherryGrp"
11.0503,"x","Months",502,0.01893688,"y","%",218,"cherryGrp"
11.98225,"x","Months",537,0.02093023,"y","%",217,"cherryGrp"
12.88757,"x","Months",571,0.01495017,"y","%",220,"cherryGrp"
14.00592,"x","Months",613,0.02292359,"y","%",216,"cherryGrp"
15.01775,"x","Months",651,0.0448505,"y","%",205,"cherryGrp"
15.97633,"x","Months",687,0.03089701,"y","%",212,"cherryGrp"
17.01479,"x","Months",726,0.03089701,"y","%",212,"cherryGrp"
17.97337,"x","Months",762,0.03488372,"y","%",210,"cherryGrp"
-0.02662722,"x","Months",86,-0.05880399,"y","%",257,"kiwiGrp"
0.9585799,"x","Months",123,-0.1265781,"y","%",291,"kiwiGrp"
1.91716,"x","Months",159,-0.1385382,"y","%",297,"kiwiGrp"
3.008876,"x","Months",200,-0.07873754,"y","%",267,"kiwiGrp"
4.047337,"x","Months",239,-0.06478405,"y","%",260,"kiwiGrp"
5.059172,"x","Months",277,-0.05481728,"y","%",255,"kiwiGrp"
6.044379,"x","Months",314,-0.05481728,"y","%",255,"kiwiGrp"
6.976331,"x","Months",349,-0.05481728,"y","%",255,"kiwiGrp"
8.068047,"x","Months",390,-0.05681063,"y","%",256,"kiwiGrp"
9.053254,"x","Months",427,-0.03488372,"y","%",245,"kiwiGrp"
10.01183,"x","Months",463,-0.02093023,"y","%",238,"kiwiGrp"
11.0503,"x","Months",502,-0.03488372,"y","%",245,"kiwiGrp"
12.00888,"x","Months",538,-0.01893688,"y","%",237,"kiwiGrp"
13.04734,"x","Months",577,-0.02890365,"y","%",242,"kiwiGrp"
14.03254,"x","Months",614,-0.02491694,"y","%",240,"kiwiGrp"
15.04438,"x","Months",652,-0.01096346,"y","%",233,"kiwiGrp"
16.00296,"x","Months",688,-0.01893688,"y","%",237,"kiwiGrp"
16.98817,"x","Months",725,-0.01295681,"y","%",234,"kiwiGrp"
18,"x","Months",763,-0.01495017,"y","%",235,"kiwiGrp"
