"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
2.967933,"x",NA,103,0.1711111,"y",NA,429,"orangeGrp"
5.918052,"x",NA,195,0.1664444,"y",NA,432,"orangeGrp"
9.028504,"x",NA,292,0.1664444,"y",NA,432,"orangeGrp"
12.33135,"x",NA,395,0.1617778,"y",NA,435,"orangeGrp"
15.34561,"x",NA,489,0.2908889,"y",NA,352,"orangeGrp"
18.32779,"x",NA,582,0.2831111,"y",NA,357,"orangeGrp"
21.47031,"x",NA,680,0.2784444,"y",NA,360,"orangeGrp"
24.45249,"x",NA,773,0.2737778,"y",NA,363,"orangeGrp"
30.03207,"x",NA,947,0.3733333,"y",NA,299,"orangeGrp"
27.49881,"x",NA,868,0.3888889,"y",NA,289,"orangeGrp"
2.967933,"x",NA,103,0.2131111,"y",NA,402,"cherryGrp"
5.918052,"x",NA,195,0.2053333,"y",NA,407,"cherryGrp"
9.028504,"x",NA,292,0.1991111,"y",NA,411,"cherryGrp"
12.29929,"x",NA,394,0.1913333,"y",NA,416,"cherryGrp"
15.31354,"x",NA,488,0.3795556,"y",NA,295,"cherryGrp"
18.35986,"x",NA,583,0.3764444,"y",NA,297,"cherryGrp"
21.50238,"x",NA,681,0.3562222,"y",NA,310,"cherryGrp"
24.48456,"x",NA,774,0.3406667,"y",NA,320,"cherryGrp"
27.46675,"x",NA,867,0.4386667,"y",NA,257,"cherryGrp"
30.06413,"x",NA,948,0.4262222,"y",NA,265,"cherryGrp"
