"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
12.0507,"x",NA,143,0.09035176,"y",NA,450,"orangeGrp"
14.99155,"x",NA,201,0.101407,"y",NA,428,"orangeGrp"
17.93239,"x",NA,259,0.0918593,"y",NA,447,"orangeGrp"
20.97465,"x",NA,319,0.09386935,"y",NA,443,"orangeGrp"
24.0169,"x",NA,379,0.0998995,"y",NA,431,"orangeGrp"
27.00845,"x",NA,438,0.0838191,"y",NA,463,"orangeGrp"
29.9493,"x",NA,496,0.08030151,"y",NA,470,"orangeGrp"
12.0507,"x",NA,143,0.1069347,"y",NA,417,"cherryGrp"
15.04225,"x",NA,202,0.1179899,"y",NA,395,"cherryGrp"
17.9831,"x",NA,260,0.1084422,"y",NA,414,"cherryGrp"
21.02535,"x",NA,320,0.1114573,"y",NA,408,"cherryGrp"
23.9662,"x",NA,378,0.1184925,"y",NA,394,"cherryGrp"
27.00845,"x",NA,438,0.1044221,"y",NA,422,"cherryGrp"
29.9493,"x",NA,496,0.101407,"y",NA,428,"cherryGrp"
12.0507,"x",NA,143,0.07326633,"y",NA,484,"kiwiGrp"
14.99155,"x",NA,201,0.08482412,"y",NA,461,"kiwiGrp"
18.18592,"x",NA,264,0.07527638,"y",NA,480,"kiwiGrp"
20.97465,"x",NA,319,0.07628141,"y",NA,478,"kiwiGrp"
24.06761,"x",NA,380,0.08030151,"y",NA,470,"kiwiGrp"
27.00845,"x",NA,438,0.06371859,"y",NA,503,"kiwiGrp"
29.9493,"x",NA,496,0.05819095,"y",NA,514,"kiwiGrp"
