"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
1,"x",NA,201,0.2933702,"y",NA,300,"orangeGrp"
2.001431,"x",NA,301,0.3265193,"y",NA,280,"orangeGrp"
3.002861,"x",NA,401,0.3497238,"y",NA,266,"orangeGrp"
4.004292,"x",NA,501,0.3762431,"y",NA,250,"orangeGrp"
4.995708,"x",NA,600,0.4044199,"y",NA,233,"orangeGrp"
5.997139,"x",NA,700,0.419337,"y",NA,224,"orangeGrp"
6.988555,"x",NA,799,0.4425414,"y",NA,210,"orangeGrp"
7.989986,"x",NA,899,0.4674033,"y",NA,195,"orangeGrp"
1,"x",NA,201,0.2933702,"y",NA,300,"cherryGrp"
2.001431,"x",NA,301,0.3546961,"y",NA,263,"cherryGrp"
2.992847,"x",NA,400,0.3977901,"y",NA,237,"cherryGrp"
3.994278,"x",NA,500,0.4458564,"y",NA,208,"cherryGrp"
4.995708,"x",NA,600,0.4640884,"y",NA,197,"cherryGrp"
5.987124,"x",NA,699,0.480663,"y",NA,187,"cherryGrp"
6.998569,"x",NA,800,0.5138122,"y",NA,167,"cherryGrp"
7.989986,"x",NA,899,0.4922652,"y",NA,180,"cherryGrp"
