"x.calibrated","x.label","x.units","x.coord","y.calibrated","y.label","y.units","y.coord","group"
5,"x",NA,87,-0.003951049,"y",NA,369,"orangeGrp"
15.2867,"x",NA,133,-0.01839161,"y",NA,428,"orangeGrp"
25.34977,"x",NA,178,-0.025,"y",NA,455,"orangeGrp"
35.18922,"x",NA,222,-0.01937063,"y",NA,432,"orangeGrp"
45.02867,"x",NA,266,-0.01765734,"y",NA,425,"orangeGrp"
55.09174,"x",NA,311,0.0004545455,"y",NA,351,"orangeGrp"
65.15482,"x",NA,356,-0.001013986,"y",NA,357,"orangeGrp"
75.21789,"x",NA,401,0.001678322,"y",NA,346,"orangeGrp"
85.28096,"x",NA,446,0.01538462,"y",NA,290,"orangeGrp"
94.89679,"x",NA,489,0.01465035,"y",NA,293,"orangeGrp"
105.1835,"x",NA,535,0.01073427,"y",NA,309,"orangeGrp"
115.2466,"x",NA,580,0.01807692,"y",NA,279,"orangeGrp"
125.086,"x",NA,624,0.02395105,"y",NA,255,"orangeGrp"
134.9255,"x",NA,668,0.02223776,"y",NA,262,"orangeGrp"
145.2122,"x",NA,714,0.02272727,"y",NA,260,"orangeGrp"
155.0516,"x",NA,758,0.04230769,"y",NA,180,"orangeGrp"
165.1147,"x",NA,803,0.02566434,"y",NA,248,"orangeGrp"
174.9541,"x",NA,847,0.0286014,"y",NA,236,"orangeGrp"
184.57,"x",NA,890,0.01954545,"y",NA,273,"orangeGrp"
195.0803,"x",NA,937,0.02835664,"y",NA,237,"orangeGrp"
5.223624,"x",NA,88,0.003146853,"y",NA,340,"cherryGrp"
15.2867,"x",NA,133,-0.005909091,"y",NA,377,"cherryGrp"
24.90252,"x",NA,176,-0.01178322,"y",NA,401,"cherryGrp"
34.9656,"x",NA,221,-0.004195804,"y",NA,370,"cherryGrp"
45.02867,"x",NA,266,-0.001503497,"y",NA,359,"cherryGrp"
54.86812,"x",NA,310,0.01856643,"y",NA,277,"cherryGrp"
64.93119,"x",NA,355,0.01807692,"y",NA,279,"cherryGrp"
75.44151,"x",NA,402,0.02027972,"y",NA,270,"cherryGrp"
85.28096,"x",NA,446,0.03545455,"y",NA,208,"cherryGrp"
95.12041,"x",NA,490,0.03496503,"y",NA,210,"cherryGrp"
104.5126,"x",NA,532,0.0308042,"y",NA,227,"cherryGrp"
114.5757,"x",NA,577,0.03814685,"y",NA,197,"cherryGrp"
124.6388,"x",NA,622,0.04402098,"y",NA,173,"cherryGrp"
135.1491,"x",NA,669,0.04328671,"y",NA,176,"cherryGrp"
144.9885,"x",NA,713,0.04377622,"y",NA,174,"cherryGrp"
154.828,"x",NA,757,0.06458042,"y",NA,89,"cherryGrp"
165.1147,"x",NA,803,0.04744755,"y",NA,159,"cherryGrp"
175.1778,"x",NA,848,0.05111888,"y",NA,144,"cherryGrp"
184.7936,"x",NA,891,0.04304196,"y",NA,177,"cherryGrp"
194.633,"x",NA,935,0.05479021,"y",NA,129,"cherryGrp"
5.223624,"x",NA,88,-0.01129371,"y",NA,399,"kiwiGrp"
14.83945,"x",NA,131,-0.03136364,"y",NA,481,"kiwiGrp"
25.12615,"x",NA,177,-0.03944056,"y",NA,514,"kiwiGrp"
35.18922,"x",NA,222,-0.03479021,"y",NA,495,"kiwiGrp"
45.69954,"x",NA,269,-0.03356643,"y",NA,490,"kiwiGrp"
54.86812,"x",NA,310,-0.01692308,"y",NA,422,"kiwiGrp"
64.93119,"x",NA,355,-0.01912587,"y",NA,431,"kiwiGrp"
74.99427,"x",NA,400,-0.01716783,"y",NA,423,"kiwiGrp"
84.38647,"x",NA,442,-0.006398601,"y",NA,379,"kiwiGrp"
95.34404,"x",NA,491,-0.005664336,"y",NA,376,"kiwiGrp"
106.078,"x",NA,539,-0.008601399,"y",NA,388,"kiwiGrp"
114.7993,"x",NA,578,-0.002727273,"y",NA,364,"kiwiGrp"
125.7569,"x",NA,627,0.002902098,"y",NA,341,"kiwiGrp"
134.9255,"x",NA,668,0.001433566,"y",NA,347,"kiwiGrp"
145.2122,"x",NA,714,0.0009440559,"y",NA,349,"kiwiGrp"
154.828,"x",NA,757,0.02076923,"y",NA,268,"kiwiGrp"
165.1147,"x",NA,803,0.003391608,"y",NA,339,"kiwiGrp"
174.7305,"x",NA,846,0.00534965,"y",NA,331,"kiwiGrp"
184.7936,"x",NA,891,-0.004685315,"y",NA,372,"kiwiGrp"
194.8567,"x",NA,936,0.001923077,"y",NA,345,"kiwiGrp"
