months,te,te_se
 3,-0.1106312000,0.008644820
 6,-0.1225914000,0.008136297
 9,-0.0607973400,0.009153331
12,-0.0468438500,0.009153331
15,-0.0348837200,0.010678888
18,-0.0388704300,0.008644814
21,-0.0308970100,0.011695924
24,-0.0368770800,0.011187405
27,-0.0129568100,0.011695924
30, 0.0029900330,0.012712958
33,-0.0049833890,0.013729997
36, 0.0009966777,0.010170368
39,-0.0049833890,0.011187405
42, 0.0009966777,0.012204441
45, 0.0209302300,0.014238517
48, 0.0049833890,0.012712961
51, 0.0109634600,0.011187405
54, 0.0089701000,0.012712961
